550 1200 640 10 -0.02   
550 1200 650 7 0   
550 1200 520 7 -0.05   
550 1200 528 1 0   
550 1200 528 1 0   
550 1200 560 7 0   
550 1200 500 10 -0.1   
550 1200 120 5 -0.02   
1850 1200 960 15 -0.2   
1850 1200 640 10 -0.04   
1850 1200 650 7 0   
1850 1200 520 7 -0.07   
1850 1200 528 1 0   
1850 1200 528 1 0   
1850 1200 560 7 -0.02   
1850 1200 500 10 -0.4   
1850 1200 120 5 -0.04   
4300 1200 960 15 -1.5   
4300 1200 640 10 -0.05   
4300 1200 650 7 0   
4300 1200 520 7 -0.05   
4300 1200 528 1 0   
4300 1200 528 1 0   
4300 1200 560 7 -0.03   
4300 1200 500 10 -1.6   
4300 1200 120 5 -0.07   
6900 1200 960 15 -1.9   
6900 1200 640 10 -0.06   
6900 1200 650 7 0   
6900 1200 520 7 -0.06   
6900 1200 528 1 -0.08   
6900 1200 528 1 0   
6900 1200 560 7 -0.04   
6900 1200 500 10 -2.1   
6900 1200 120 5 -0.09   
9500 1200 960 15 -2.5   
9500 1200 640 10 -0.3   
9500 1200 650 7 0   
9500 1200 520 7 -0.15   
9500 1200 528 1 -0.1   
9500 1200 528 1 0   
9500 1200 560 7 -0.2   
9500 1200 500 10 -2.7   
9500 1200 120 5 -0.12   
1850 950 60 2 0   
1850 950 800 2 0   
1850 950 640 1 0   
1850 950 600 1 0   
1850 950 520 1 0   
1850 950 500 1 0   
1850 950 480 1 0   
1850 950 400 2 -0.1   
1850 950 30 2 0   
4300 950 60 2 0   
4300 950 800 2 0   
4300 950 640 1 0   
4300 950 600 1 0   
4300 950 520 1 0   
4300 950 500 1 0   
4300 950 480 1 0   
4300 950 400 2 -0.25   
4300 950 30 2 0   
6900 950 60 2 0   
6900 950 800 2 0   
6900 950 640 1 0   
6900 950 600 1 0   
6900 950 520 1 0   
6900 950 500 1 0   
6900 950 480 1 0   
6900 950 400 2 -0.35   
6900 950 30 2 0   
550 1100 60 2 -0.01   
550 1100 800 2 -0.01   
550 1100 640 1 0   
550 1100 600 1 -0.01   
550 1100 520 1 0   
550 1100 500 1 0   
550 1100 480 1 0.01   
550 1100 400 2 -0.04   
550 1100 30 2 0   
1850 1100 60 2 -0.03   
1850 1100 800 2 -0.07   
1850 1100 640 1 -0.02   
1850 1100 600 1 0.02   
1850 1100 520 1 -0.01   
1850 1100 500 1 -0.01   
1850 1100 480 1 -0.01   
1850 1100 400 2 -0.25   
1850 1100 30 2 -0.02   
4300 1100 60 2 -0.02   
4300 1100 800 2 -0.02   
4300 1100 640 1 -0.02   
4300 1100 600 1 -0.03   
4300 1100 520 1 0   
4300 1100 500 1 -0.01   
4300 1100 480 1 0   
4300 1100 400 2 -0.8   
4300 1100 30 2 -0.2   
550 1200 60 2 -0.01   
550 1200 800 2 -0.01   
550 1200 640 1 0.00   
550 1200 600 1 -0.01   
550 1200 520 1 0.00   
550 1200 500 1 0.00   
550 1200 480 1 0.01   
550 1200 400 2 -0.04   
550 1200 30 2 0.00   
1850 1200 60 2 -0.04   
1850 1200 800 2 -0.09   
1850 1200 640 1 -0.03   
1850 1200 600 1 -0.03   
1850 1200 520 1 -0.01   
1850 1200 500 1 0.00   
1850 1200 480 1 -0.01   
1850 1200 400 2 -0.33   
1850 1200 30 2 -0.03   
4300 1200 60 2 -0.05   
4300 1200 800 2 -0.03   
4300 1200 640 1 -0.03   
4300 1200 600 1 -0.04   
4300 1200 520 1 0.00   
4300 1200 500 1 -0.01   
4300 1200 480 1 0.00   
4300 1200 400 2 -1.04   
4300 1200 30 2 -0.26   
